Song Name,Artist,Album
Chemtrails Over The Country Club,Lana Del Rey,Chemtrails Over The Country Club
Stargirl Interlude,The Weeknd,Starboy
Young And Beautiful,Lana Del Rey,Young And Beautiful
Margaret (feat. Bleachers),Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd
Paris,$uicideboy$,Now the Moon's Rising
Nothing's New,Rio Romeo,Good God!
Kill Yourself (Part III),$uicideboy$,My Liver Will Handle What My Heart Can't
Aerials,System Of A Down,Toxicity
Yaramızda Kalsın,Onur Can Özcan,Yaramızda Kalsın
Yaz Yaz Yaz,mor ve ötesi,Kayıtlar 2005-2016
Sen Ve Ben,Kilink,3 Akorun İntikamı
Lightning Song,Anathema,Weather Systems
Gemiler,Teoman,O
Renkli Rüyalar Oteli,Teoman,Renkli Rüyalar Oteli
Serseri,Teoman,Eski Bir Rüya Uğruna...
İki Yabancı,Teoman,17
We Are The People,Empire Of The Sun,Walking On A Dream
Lafı mı Olur,Kibariye,İşte Ses İşte Yorum
Motoru Yaktım,Kilink,Lanetimi Kokla Bebek
Star Shopping,Lil Peep,Star Shopping
Yaz Beni De Sever,Kilink,Kasaba
Dondurma,Kilink,Kasaba
Doin' Time,Lana Del Rey,Norman Fucking Rockwell!
Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,Mercury - Acts 1 & 2
243803,Kilink,Lanetimi Kokla Bebek
Mesaj,Kilink,Lanetimi Kokla Bebek
Tutmayan Kuponlarım Var,Kelanei,Tutmayan Kuponlarım Var
Çöpçüler,Erkin Koray,"Çöpçüler / Ceylan / Dünden Esintiler, Vol.2"
Muhterem Hayalet,Kelanei,Muhterem Hayalet
The Beginning and the End,Anathema,Weather Systems
Paralytic,Dead Poetic,Vices
Do You Believe,Deftones,Diamond Eyes (Deluxe)
Saçlar,Kalben,Kalben
Kediler,Yüzyüzeyken Konuşuruz,Otoban Sıcağı
Gidiyor Gibiyim,Bahadır Sağlam,Mavi
Возможно,My,"Расстояние, Pt. 3"
Neanderthal,Malt,Arıza
7 Words,Deftones,Adrenaline
Cherry Waves,Deftones,Saturday Night Wrist
Nazende,Ezginin Günlügü,Alagözlü Yar (Azeri Nihavent)
Lovesong - Remastered,The Cure,Disintegration (Deluxe Edition)
Don't Go,Happy Days,Happiness Stops Here...
Kafası Kendinden Bile Güzel,Halil Sezai,Kafası Kendinden Bile Güzel
Senden Haber Yok,Palmiyeler,II (Venus)
Kusmam Gerek,Asperger,Z Kuşağı Sokağa Çıksın
Saudade,Henry The Lee,Saudade
Bu Kalp Seni Unutur Mu?,regex,Bu Kalp Seni Unutur Mu?
KURTULDUM SONUNDA,ÇOKGEÇ,KURTULDUM SONUNDA
Santa Monica,BUBBLE TEA AND CIGARETTES,There's Nothing But Pleasure
Bir Kadın Ve Bir Erkek,Teoman,İnsanlık Halleri
warm (feat. Raury),The Neighbourhood,#000000 & #FFFFFF (No DJ Version)
Haykıracak Nefesim,exactlyn0thing,MANZARAM
Can You Hear The Music,Ludwig Göransson,Oppenheimer (Original Motion Picture Soundtrack)
Bu Kalp Seni Unutur mu,Fikret Kızılok,Yana Yana
Kapatıyoruz - 3 - Verse,Şehinşah,Denetimli Serbestlik Stili (Deluxe)
Kalbimdeki Bıçak,Palmiyeler,Palmiyeler EP
Minerva,Deftones,Deftones
Sleep Walk,Deftones,Covers
Kızların En Güzeli,Kilink,Kasaba
Keşke İnsan Diye Bir Şey Olmasa,Kilink,Kasaba
Çocuk Apart,Kilink,Kasaba
Oynadığım Eski Bir Oyun Vardı,insanlar gerçek olsa,Soultracks EP
Motosikletli Kız,Teoman,Teo
Süpermarketler,Kilink,Kasaba
Bira Ve Kahve - Akustik,Grizu,Gri
Mascara,Deftones,Around the Fur
Swerve City,Deftones,Koi No Yokan
seasons,wave to earth,summer flows 0.02
canım çok acıyor fazlasıyla yorgunum,Karamel Makiyato,canım çok acıyor fazlasıyla yorgunum
Cesaretsizce Olmuyor,Jabbar,Yineleme
Bana Hiç Vermedin,Açık Seçik Aşk Bandosu,Bana Hiç Vermedin
Popon Hep Pipimde Dursun,Açık Seçik Aşk Bandosu,Şans
Kadınım,Tanju Okan,Kadınım (Kime Ne)
Ağustosun Son Günü,Kilink,Lanetimi Kokla Bebek
Karbeyaz,Palmiyeler,II (Venus)
Heart To Heart,Mac DeMarco,Here Comes The Cowboy
iki yabancı,Kum,iki yabancı
True Love Waits,Radiohead,A Moon Shaped Pool
(sic),Slipknot,Slipknot (10th Anniversary Edition)
Far Away (feat. A$AP Rocky),Yebba,Dawn
Deli,mor ve ötesi,Başıbozuk
Bu Benim Hayatım,No.1,Bu Benim Hayatım
Rüya,Devil,Elmas Şato (Remastered)
Mesafe,Yabancılar,Mesafe
İstediğin Buysa,110,Sıfır
Yad Eller,maNga,X
Olduramadım,MFÖ,Agu
Bi' Karamel Makiyato,Karamel Makiyato,Bi' Karamel Makiyato
Bir Kış Sabahı,Teoman,Rock and Roll
bir kere daha gülümsesen,Karamel Makiyato,bir kere daha gülümsesen
NO OTHER SIDE!,SARM?,NO OTHER SIDE!
My Kind of Woman,Mac DeMarco,2
Peppers (feat. Tommy Genesis),Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd
Babaçko,Palmiyeler,II (Venus)
Bütün İstanbul Biliyo,İkiye On Kala,Bütün İstanbul Biliyo
Paramparça,Teoman,17
sevin,uclercagri,sevin
Ölmezdim,Güncel Gürsel Artıktay,Ölmezdim
İstemezdim,Jakuzi,Hata Payi
Kalbime Dokunup Kaçanları Affetmiyorum,Karamel Makiyato,Kalbime Dokunup Kaçanları Affetmiyorum
Özledim İşte,Karamel Makiyato,Özledim İşte
"Gözlerini Kapat Ve Kar Yağdığını Hayal Et, Gerisi Gerçek",Henry The Lee,"Gözlerini Kapat Ve Kar Yağdığını Hayal Et, Gerisi Gerçek"
Bira Ve Kahve,Grizu,Tuzla Buz
Bu Gezegen Benimki Değil,Henry The Lee,Bu Gezegen Benimki Değil
Sararmış Kağıt,Barış Kocatürk,Kesin Kesiktir
dur bidakka bişey söylemem gerek,Karamel Makiyato,dur bidakka bişey söylemem gerek
İlk ve Son Aşkım Sen Olacaksın,Ayla Dikmen,Klasikler (Orijinal Kayıtlar)
Gel Yanıma,Palmiyeler,Şeytan Odama Geldi
Bittersweet Fruit,Isaac Delusion,Rust & Gold
Half a Person - 2011 Remaster,The Smiths,Louder Than Bombs
Bye Bye Love,The Everly Brothers,The Very Best of The Everly Brothers
Neresi?,BEGE,Neresi?
Yan Yana,Yalnayak,Yan Yana
Never Had No One Ever - 2011 Remaster,The Smiths,The Queen Is Dead
I Know It's Over - 2011 Remaster,The Smiths,The Queen Is Dead
Indigo Night,Tamino,Amir
Taco Truck x VB,Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd
Radio,Lana Del Rey,Born To Die - The Paradise Edition
Beş ve On Yedi,sinanılmaz,Beş ve On Yedi
West Coast,Lana Del Rey,Ultraviolence (Deluxe)
Say Yes To Heaven,Lana Del Rey,Say Yes To Heaven
Işıkları Söndürseler Bile,maNga,Işıkları Söndürseler Bile
Aldattım,Dolu Kadehi Ters Tut,Dünyanın En İyi Albümü
Doya Doya,Kalben,Kalben
Önemli Değil (Bonus),Düz Mantık,Tabi Senin Baban Zengin
Hint Kumaşı,maNga,Işıkları Söndürseler Bile
Torba Var Mı Beyler?,Kilink,3 Akorun İntikamı
Boktan Mesele,Kilink,Lanetimi Kokla Bebek
Sevgilim Nerdeydin,Kilink,Lanetimi Kokla Bebek
Dai the Flu,Deftones,Around the Fur
Ultraviolence,Lana Del Rey,Ultraviolence (Deluxe)
Божевілля двох,Mistmorn,Божевілля двох
Derine,Palmiyeler,Akdeniz
黒い涙,ANNA TSUCHIYA inspi' NANA(BLACK STONES),ANNA TSUCHIYA inspi' NANA(BLACK STONES)
Kasmicam,Lust,Kasmicam
24,Sagopa Kajmer,Bir Pesimistin Gözyaşları
Brooklyn Baby,Lana Del Rey,Ultraviolence (Deluxe)
Dealer,Lana Del Rey,Blue Banisters
Yekteniya III,PATRIARKH,Litourgiya
Snuff,Slipknot,All Hope Is Gone (10th Anniversary)
Custer,Slipknot,.5: The Gray Chapter (Special Edition)
Before I Forget,Slipknot,Vol. 3: The Subliminal Verses
Seninle Manyak Güzel Olabilirdik,Bazen Uçmak İsterim,Gerçekten Uzakta
Sleep Well,d4vd,Petals to Thorns
Entombed,Deftones,Koi No Yokan
Risk,Deftones,Diamond Eyes
"Her Akşam Votka, Rakı Ve Şarap / Sarhoş",Dario Moreno,Dario Moreno'suz 40 Yıl
Family Line,Conan Gray,Superache
Jumping Someone Else's Train,The Cure,Staring At The Sea - The Singles
10:15 Saturday Night,The Cure,Staring At The Sea - The Singles
Just Like Heaven,The Cure,"Kiss Me, Kiss Me, Kiss Me"
Friday I'm In Love,The Cure,Wish
Psychosocial,Slipknot,All Hope Is Gone (10th Anniversary)
Closer,Nine Inch Nails,The Downward Spiral (Deluxe Edition)
Oc (Aslında Alkol Hala Damarımda),Kilink,Kasaba
PRIDE.,Kendrick Lamar,DAMN.
Yalnızlık Ömür Boyu,MFÖ,Ele Güne Karşı Yapayalnız
Viski Ve Lazanya,Teoman,Gecenin Sonuna Yolculuk
Please Please Please Let Me Get What I Want - 2005 Remaster,Deftones,Covers
"Frankly, Mr. Shankly - 2011 Remaster",The Smiths,The Queen Is Dead
Ben Varım,Ayten Alpman,Ayten Alpman Klasikleri (Türk Pop Tarihi)
This Night Has Opened My Eyes - 2011 Remaster,The Smiths,Louder Than Bombs
Reenkarne,Stabil,Reenkarne
Ben Böyleyim,Ayten Alpman,Ayten Alpman Klasikleri (Türk Pop Tarihi)
Bırakma Kendini,Kaan Boşnak,Bırakma Kendini
MORE,K/DA,MORE
Toprak Yağmura - Akustik,Canozan,Dolunay
Unloveable - 2017 Master,The Smiths,The Queen Is Dead (Deluxe Edition)
Vague / E la nave va,Anja Lechner,Vague / E la nave va
SLIDE,Chase Atlantic,BEAUTY IN DEATH
Lost on You,LP,Lost on You
Decks Dark,Radiohead,A Moon Shaped Pool
2 + 2 = 5,Radiohead,Hail To the Thief
Kol Düğmeleri,Teoman,Teo
A Little Death,The Neighbourhood,"Thank You,"
Crack A Bottle,Eminem,Relapse: Refill
Compass,The Neighbourhood,Hard To Imagine The Neighbourhood Ever Changing
Reflections,The Neighbourhood,Hard To Imagine The Neighbourhood Ever Changing
Scary Love,The Neighbourhood,Hard To Imagine The Neighbourhood Ever Changing
R.I.P. 2 My Youth,The Neighbourhood,Wiped Out!
Single,The Neighbourhood,Wiped Out!
Daddy Issues,The Neighbourhood,Wiped Out!
Cry Baby,The Neighbourhood,Wiped Out!
On the Nature of Daylight,Max Richter,The Blue Notebooks (15 Years)
"The Gadfly Suite, Op. 97a: X. Nocturne - Live",Dmitri Shostakovich,A Season of Music: Shostakovich
Melancholy Man,The Moody Blues,A Question Of Balance
In My Feelings,Lana Del Rey,Lust For Life
Anlamazdın,Rana Türkyılmaz,Anlamazdın
Eksik,Batu Akdeniz,Eksik
Ask - 2011 Remaster,The Smiths,Louder Than Bombs
How Soon Is Now? - 2011 Remaster,The Smiths,Hatful of Hollow
Reel Around the Fountain - 2011 Remaster,The Smiths,The Smiths
Deliyim Ben,Dolu Kadehi Ters Tut,Polonya'nın Başı Belada
Blow Out,Radiohead,Pablo Honey
Stop Smoking (We Love You),Car Seat Headrest,Twin Fantasy
"You're On Your Own, Kid",Taylor Swift,Midnights
Snap Out Of It,Arctic Monkeys,AM
Knee Socks,Arctic Monkeys,AM
Yara,Kalben,Sonsuza Kadar
Sad Girl,Lana Del Rey,Ultraviolence (Deluxe)
senden uzak,Mavi,VERITAS
İstanbul'da Sonbahar,Teoman,Gönülçelen
All I Need,Radiohead,In Rainbows
24/7,ALIZADE,24/7
All I Wanted,Paramore,Brand New Eyes
I Was Never There,The Weeknd,"My Dear Melancholy,"
Fake Plastic Trees,Radiohead,The Bends
Beni Bana Bırak,Lia Shine,Bir Şeytan Masalı
Exit Music (For A Film),Radiohead,OK Computer
How to Disappear Completely,Radiohead,Kid A
Party Monster,The Weeknd,Starboy
Deep - Remastered,Anathema,Judgement (Remastered)
Venus,Palmiyeler,II (Venus)
Öyle Sarhoş Olsam ki,Tanju Okan,Bir Zamanlar (Best Of)
Bana Öyle Bakma,Teoman,Aşk & Gurur
Die For You,The Weeknd,Starboy
Nilüfer,Yaşlı Amca,Yaşlı Amca
Ona Gitme - Akustik,Batu Akdeniz,Ona Gitme (Akustik)
Alamet,Rana Türkyılmaz,Alamet
Kayboldun,Anıl Emre Daldal,Kayboldun
17,Teoman,17
Birden Geldin Aklıma,Tuna Kiremitçi,Tuna Kiremitçi ve Arkadaşları
Charlotte Sometimes,The Cure,Staring At The Sea - The Singles
Pictures Of You - Remastered,The Cure,Disintegration (Deluxe Edition)
Be Quiet and Drive (Far Away),Deftones,Around the Fur
My Own Summer (Shove It),Deftones,Around the Fur
Jigsaw Falling Into Place,Radiohead,In Rainbows
Change (In the House of Flies),Deftones,White Pony
No Surprises,Radiohead,OK Computer
Creep,Radiohead,Pablo Honey
"Kawaki wo Ameku (From ""Domestic na Kanojo"") - Full Version",Akano,"Kawaki wo Ameku (From ""Domestic na Kanojo"") [Full Version]"
Shy Away,Twenty One Pilots,Scaled And Icy
My Name Is,Eminem,Curtain Call: The Hits (Deluxe Edition)
Interlude: I'm Not Angry Anymore,Paramore,Paramore
Mockingbird,Eminem,Encore (Deluxe Version)
Bir Sevmek Bin Defa Ölmek Demekmiş,Barış Akarsu,Ayrılık Zamansız Gelir
Cinnet,Dekadans,Cinnet
Gibi,Hidra,Holigan
I Wanna Cry,Seori,?depacse ohw
ben bugün ülkemden gitmek istedim,Frxzbie,ben bugün ülkemden gitmek istedim
Still Got The Blues,Gary Moore,Still Got The Blues
Mesela Yani,Kayra,Mesela Yani
Ay Tenli Kadın,Ufuk Beydemir,Sevda Gibi
SittingInTheCar,surrenderdorothy,SittingInTheCar
BeCarefulUpThere,surrenderdorothy,BreathingExercise
Farkındayım,Teoman,Sabih Cangil 50. Yıl
Rahatsız Vals,Son Feci Bisiklet,Rahatsız Vals
Seni Gördüm Rüyamda,Canozan,Seni Gördüm Rüyamda
"Please, Please, Please, Let Me Get What I Want - 2011 Remaster",The Smiths,Hatful of Hollow
sanki hevesim hiç kırılmamış gibi,Berkay Altunyay,sanki hevesim hiç kırılmamış gibi
Kapanis Konusmasi,Kafabindünya,Obi
This Is The Life,Amy Macdonald,This Is The Life (eDeluxe)
we fell in love in october,girl in red,we fell in love in october / October Passed Me By
Binlerce Ozur,Kafabindünya,Obi
Yapma N'olursun,Dolu Kadehi Ters Tut,Polonya'nın Başı Belada
gözlerindeki ay,Mavi,gözlerindeki ay
Kar,Farazi,Hayalet Islığı (Instrumentals)
Without Me,Eminem,The Eminem Show
The Real Slim Shady,Eminem,The Marshall Mathers LP
Die For You (with Ariana Grande) - Remix,The Weeknd,Starboy (Deluxe)
After Hours,The Weeknd,After Hours
Hep Kahır,Cem Karaca,Merhaba Gençler
Bu Aşk Fazla Sana,Şebnem Ferah,Kadın
Saat 03:00,Teoman,Teo
Mor Yazma,Umut Kaya,Umut Kaya
Haydi Gel İçelim,Yüksek Sadakat,Katil & Maktül
Je veux,Zaz,Zaz
Bırak Kadının Olayım,Şebnem Ferah,Kadın
Vals,Duman,Duman 2
Kendimi Vurdum,Şanışer,Umut
Uyu Bebeğim,Pera,Sevda Beladır
Lost Cause,Billie Eilish,Happier Than Ever
Hatıralar,Barış Akarsu,Ayrılık Zamansız Gelir
Butch 4 Butch,Rio Romeo,Butch 4 Butch
Sleeping Beauty Syndrome,April Rain,Mirror of Ether
6patlar,Son Feci Bisiklet,Sistemik
What Could Have Been feat. Ray Chen (from the series Arcane League of Legends),Sting,Arcane League of Legends (Soundtrack from the Animated Series)
Aşk Nerden Nereye,Gripin,Yalnızlığın Çaresini Bulmuşlar
White Rabbit,Jefferson Airplane,Surrealistic Pillow
End of Beginning,Djo,DECIDE
Darkwood 1,David Darling,Cello
Altüst Olmuşum,Mavi Gri,Altüst Olmuşum
Intolewd,Matt Maltese,Krystal
Alışkanlık Değilsin,Yedinci Ev,Şimdi
Birileri Anlatsın Bana,Yedinci Ev,Şimdi
Utanıyorum Halimden,Yedinci Ev,Şimdi
Derinden / bazen hayat çok kötü gidiyor ve ben onu nasıl anlatacağımı bilemiyorum,Barış Diri,Derinden / bazen hayat çok kötü gidiyor ve ben onu nasıl anlatacağımı bilemiyorum
Boşver Be,Skapova,Boşver Be
Diet Mountain Dew,Lana Del Rey,Born To Die - The Paradise Edition
Ölmeden,Lin Pesto,SON
Kuytu Köşelerde - Live,Şanışer,Kuytu Köşelerde (Live)
Suç,Aspova,Matrix (Red)
Güzel Bir Kadın,Vera,Bir Yangın Var
sen gidince kaldım öyle lan,Karamel Makiyato,sen gidince kaldım öyle lan
Zaferlerim,Demir Demirkan,2004 Istanbul
Ben Hala Vazgeçmedim,Skapova,Ben Senden Vazgeçtim
Unutulur Değil Mi?,Rana Türkyılmaz,Unutulur Değil Mi?
Görünce Dünyamın Yıkıldığını,Şanışer,Görünce Dünyamın Yıkıldığını
Ben Ölmeden Önce,Fatih Erdemci,Yaşamak Zor
Geçmişin Yükü,Pentagram,Akustik
Sonsuz,Pentagram,Akustik
İyi Edersin,Prenslerin Öcü,Mega Tekliler
Sur,Pentagram,Makina Elektrika
My Woman,Gülce Duru,Kaybedenler Kulübü (FİLM MÜZİKLERİ)
Seytan Bunun Neresinde,Pentagram,Bir
Kanatlarım Olsa,Kramp,İstanbul Sokakları
Kadıköy Kızı,Yüzyüzeyken Konuşuruz,Akustik Travma
Şaraplar ve Kadınlar,Mert Şenel,Şaraplar ve Kadınlar
Bloody Mary,Lady Gaga,Born This Way (International Special Edition Version)
Devotion And Desire,Bayside,Bayside
Kill Bill,SZA,SOS
Soğuk Şarap,Kendimden Hallice,Soğuk Şarap
Ah Aman Aman,Kirli,Ah Aman Aman
dreamy night,LilyPichu,dreamy night
Dursun Zaman (feat. Göksel),maNga,maNga +
Ne İçin Yaşıyorum,Şanışer,Otuzuncu Gün
Peşimde Kara Geceler - Live,Şanışer,Peşimde Kara Geceler (Live)
İyileşiyorum,Sertab Erener,Sade
Separate Ways,Eva Under Fire,Blow EP
Serseri Bey,Stabil,Serseri Bey
Yıldızlara Bak,Yaşlı Amca,Yaşlı Amca
I WANNA BE YOUR SLAVE,Måneskin,Teatro d'ira - Vol. I
Bile Bile Yandım,Ahmak,Bile Bile Yandım
Rhineland (Heartland),Beirut,Gulag Orkestar
Ölü İhtimal,Baturalp,Karışık Bir Albüm
Dünya Bir Yalan,Olası,Dünya Bir Yalan
22,Gece,Gece
Söyle,Deniz Sungur,Toz
7,Arctic Monkeys,When The Sun Goes Down
Her Şey Yolunda,Mervan Tuzcuoğlu,Her Şey Yolunda
Belki Veda,Boş Kemikler,Belki Veda
Çoban Yıldızı,Teoman,İnsanlık Halleri
Cigarette Burns,Abby Roberts,Ashes
Çok Yorgunum,Cem Karaca,Merhaba Gençler
Resimdeki Gözyaşları,Cem Karaca,Cemaz-Ûl-Evvel (Güldeste)
Addiction,Vlad Holiday,Fall Apart with Me
Escapism.,RAYE,Escapism. / The Thrill Is Gone.
Mayın Tarlası,Şebnem Ferah,Kelimeler Yetse
Erik Satie: Gymnopédie No. 1,Pyotr Godunov,Erik Satie Gymnopédies
Ave Maria,Charles Gounod,Songs from the Arc of Life
The Lamp Is Low,Chet Baker Quartet,Chet Baker Quartet Featuring Russ Freeman (Expanded Edition)
İntihaşk,Onur Can Özcan,Yaramızda Kalsın
Gül Pembe,Barış Manço,"Mançoloji, Vol. 1"
The Hills,The Weeknd,Beauty Behind The Madness
Unutama Beni,Esmeray,En İyileriyle Esmeray
O Ben Olamam,Mavi Gri,O Ben Olamam
Böyle Kahpedir Dünya,Gripin,Gripin
Unutulanlar,Burakrhyme,Unutulanlar
Winter Snakes,Joy Again,Joy Again
Moonlight on the River,Mac DeMarco,This Old Dog
Lavanta,Stabil,Stabil
Ben Kimim,Stabil,Stabil
Cehennemin Dibi,No.1,Cehennemin Dibi
Watching Him Fade Away,Mac DeMarco,This Old Dog
Necromancer,Joy Again,Joy Again
Vas,jagger finn,Triplbt Theme
Hiç İyi Değilim,Dolu Kadehi Ters Tut,Hiç İyi Değilim
İstediğin Gibi Kullan,Jakuzi,Fantezi Müzik
"Unaccompanied Cello Suite No. 1 in G major, BWV 1007: I. Prélude",Johann Sebastian Bach,Six Evolutions - Bach: Cello Suites
Orospunun Tekine Elveda,Xnightsix,Orospunun Tekine Elveda
Hold On Till May,Pierce The Veil,Collide With The Sky
Stained Glass Eyes And Colorful Tears,Pierce The Veil,Collide With The Sky
100 Letters,Halsey,hopeless fountain kingdom (Deluxe)
Beni Sen İnandır,Pinhani,Kediköy
Love Of My Life - Remastered 2011,Queen,A Night At The Opera (2011 Remaster)
The Show Must Go On,Queen,Bohemian Rhapsody (The Original Soundtrack)
Anlamazdın,Ayla Dikmen,Klasikler (Orijinal Kayıtlar)
Eskimiş Senelere,Aspova,Hell
Suç,Aspova,Matrix (Red)
Sağanak,Aspova,Matrix (Red)
Cemetry Gates - 2011 Remaster,The Smiths,The Queen Is Dead
Uyu,Skapova,Ben Senden Vazgeçtim
Wolf River,Reignwolf,Hear Me Out
Bugün Biraz İçtim (feat. Ezhel & Grogi),Anıl Piyancı,Batı Yakası
